STT	Tên Công ty	Website	Số Đề tài	Số NV	Tuyển dụng	Địa chỉ
47	"ABI Game Studio
ABI Game Studio - Công ty Cổ phần OneSoft"	Website	5	100	0 SV	Tầng 14, Toà Detech Tower II, số 107 Nguyễn Phong Sắc, Hà Nội
48	"TCOM
Công Ty Cổ Phần Công Nghệ Và Truyền Thông TCOM"	Website	3	100	10 SV	Trụ sở: 26B/92, tổ 11, Phường Hoàng Văn Thụ, Quận Hoàng Mai, TP Hà Nội ĐĐKD: Tầng 8+9 Số 391 Trường Chinh, Phường Khương Trung, Quận Thanh Xuân, TP Hà Nội
49	"Rocket Studio
Công ty cổ phần Công nghệ và Sáng tạo Rocket"	Website	8	100	20 SV	Ô D29 Phạm Văn Bạch, Cầu Giấy, Hà Nội
50	"BSS Group
BSS GROUP Công ty Cổ phần Quốc tế Đầu tư và Phát triển công nghệ Thành Công"	Website	7	100	15 SV	Tầng 18 toà nhà Viwaseen, số 48 Tố Hữu, Nam Từ Liêm, Hà Nội
51	"Trung tâm C4I - Viettel
Trung tâm C4I, Tổng công ty Công nghiệp Công nghệ cao Viettel"	Website	8	100	10 SV	380 Lạc Long Quân - Tây Hồ - Hà Nội
52	"WorldQuant
Công ty TNHH Phần mềm đầu tư WorldQuant Việt Nam"	Website	3	96	0 SV	Tầng 15, Toà Đông, Toà nhà Lotte Center Hà Nội, Số 54 Phố Liễu Giai, Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội
53	"TIBCO Vietnam
TIBCO Orchestra Vietnam"	Website	0	80	4 SV	10th Floor, Diamon Flower Tower, 48 Le Van Luong, Hanoi
54	"Tập đoàn công nghệ Thăng Long
Công ty Cổ phần Tập đoàn Công nghệ Thăng Long"	Website	1	70	20 SV	Tòa số 2, dãy 16A2, Làng Việt Kiều Châu Âu, Nguyễn Văn Lộc, Mỗ Lao, Hà Đông
55	"eUp Group
Công ty Cổ phần Công nghệ eUp"	Website	4	70	10 SV	Tòa nhà Toyota, số 315 Trường Chinh, Phương Mai, Thanh Xuân, Hà Nội.
56	"Heligate
Công ty Cổ phần Heligate"	Website	8	70	0 SV	14 Mễ Trì Thượng, Nam Từ Liêm, Hà Nội
57	"PIXTA Việt Nam
Công ty TNHH PIXTA Việt Nam"	Website	2	60	2 SV	Số 1 Phùng Chí Kiên, Cầu Giấy
58	"CÔNG TY CỔ PHẦN CÔNG NGHỆ SECOMUS
CÔNG TY CỔ PHẦN CÔNG NGHỆ SECOMUS"	Website	2	60	10 SV	V4.4-3 – Tòa nhà Home City – 177 Trung Kính – Hà Nội
59	"SONG NAM GROUP
CÔNG TY CỔ PHẦN TẬP ĐOÀN SONG NAM"	Website	3	55	10 SV	Tầng 3, tòa nhà Audi, số 8 đường Phạm Hùng, Mễ Trì, Nam Từ Liêm, Hà Nội
60	"Vbee
Công ty Cổ phần dịch vụ và giải pháp xử lý dữ liệu VBEE"	Website	11	50	25 SV	Số 101-Tòa nhà B1, đường Nguyễn Khánh Toàn, P. Quan Hoa, Q. Cầu Giấy
61	"Aimesoft
Công ty Cổ phần Aimesoft"	Website	3	50	7 SV	Số 3, ngõ 82 Dịch Vọng Hậu
62	"Aimenext
Công ty cổ phần Aimenext"	Website	3	50	10 SV	Tầng 20, 219 Trung Kính
63	"DAC Data Technology Việt Nam JSC
Công ty Cổ phần DAC Data Technology Việt Nam"	Website	4	50	14 SV	Tầng 2A, Tòa nhà Hong Kong Tower, 243A Đê La Thành, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội, Việt Nam
64	"sPhoton Technology
Công ty TNHH công nghệ sphoton Việt Nam"	Website	4	50	10 SV	Số 70/27 Đại Cồ Việt, Hai Bà Trưng, Hà Nội
65	"KoolSoft
Công ty cổ phần Đầu tư và Phát triển KoolSoft"	Website	10	50	5 SV	Số 118, Nguyễn Ngọc Nại, Thanh Xuân, Hà Nội
66	"Tokyo Tech Lab
Công Ty Cổ Phần Tokyo Tech Lab Việt Nam"	Website	5	45	50 SV	Toà E4 - CT3, Yên Hoà Park View, số 03 Vũ Phạm Hàm, Cầu Giấy, Hà Nội
67	"TovChain JSC
Công ty cổ phần TovChain"	Website	3	40	0 SV	Tầng 10, Số 19 Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội
68	"DM GROUP
CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ GIẢI TRÍ DM GROUP"	Website	0	40	0 SV	Tầng 3, Green Park Tower, 33 Dương Đình Nghệ, Yên Hòa, Cầu Giấy, Hà Nội
69	"AvePoint Việt Nam
Công ty trách nhiệm hữu hạn AvePoint Việt Nam"	Website	6	36	30 SV	A17 Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng, Hà Nội
70	"Dimage Share Việt Nam
Công ty TNHH Dimage Share Việt Nam"	Website	3	30	10 SV	Tầng 11, tòa nhà Lilama 10, 56 Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội, Việt Nam
71	"Công ty Cổ phần Công nghệ và Giải pháp Y tế
Công ty Cổ phần Công nghệ và Giải pháp Y tế"	Website	8	30	10 SV	TT6.2A-102 khu đô thị mới Đại Kim, phường Đại Kim, quận Hoàng Mai, Hà Nội
72	"SONEK.,JSC
Công ty cổ phần Công nghệ mạng xã hội"	Website	4	30	3 SV	138 Trần Bình
73	"Qikify
Công Ty Cổ phần Công nghệ Thông tin Qikify"	Website	9	25	10 SV	tầng 18, tòa nhà Cland, số 156 ngõ Xã Đàn 2, Phường Nam Đồng, Quận Đống Đa, Hà Nội
74	"Pionero JSC
Công ty cổ phần Pionero"	Website	5	22	5 SV	Tầng 4, Helios Tower, 75 Tam Trinh, Hoàng Mai, Hà Nội
75	"VNIST
Công ty Cổ phần Công nghệ An toàn Thông tin và Truyền thông Việt Nam"	Website	6	20	8 SV	901A 8c Tạ Quang Bửu, Hai Bà Trưng, Hà Nội
76	"CÔNG TY TNHH SY PARTNERS
CÔNG TY TNHH SY PARTNERS"	Website	0	20	5 SV	Tầng 10, tòa nhà An Phú, 24 Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam
77	"Công ty TNHH Công Nghệ Pip Việt Nam
Công ty TNHH Công Nghệ Pip Việt Nam"	Website	2	20	10 SV	40 Tạ Quang Bửu
78	"CyStack
Công ty Cổ phần An ninh mạng CyStack"	Website	9	20	0 SV	Lê Văn Lương, Hà Nội
79	"Computer Vision Lab - BKAI
Computer Vision Lab - BKAI"	Website	3	20	0 SV	Tầng 10, toà nhà B1, ĐHBKHN
80	"Trung tâm Mạng Thông tin
Trung tâm Mạng Thông tin"	Website	5	20	10 SV	Tầng 9 Tòa nhà thư viện TQB
81	"Computer Vision Việt Nam (CVS)
CÔNG TY CỔ PHẦN CÔNG NGHỆ COMPUTER VISION VIỆT NAM"	Website	2	18	10 SV	14 Pháo Đài Láng, Láng Thượng, Đống Đa, Hà Nội
82	"ARROW TECHNOLOGIES VIETNAM
Công ty TNHH CÔNG NGHỆ ARROW VIỆT NAM"	Website	8	18	10 SV	Tầng 18, tòa nhà VTC Online, 18 Tam Trinh, Hai Bà Trưng, Hà Nội.
83	"MDC SOFTWARE
Công ty TNHH Công nghệ và Truyền thông MDC Việt Nam"	Website	15	15	10 SV	Tầng 15, Tòa nhà Việt Á, 9 Duy Tân, Cầu Giấy, Hà Nội
84	"DSLab
Data Science Laboratory"	Website	5	15	15 SV	1002, nhà B1, ĐHBKHN
85	"InfraTech JSC
CÔNG TY CỔ PHẦN CÔNG NGHỆ INFRATECH"	Website	5	11	5 SV	Số 1 ngõ 858 đường Kim Giang, Xã Thanh Liệt, Huyện Thanh Trì, Thành phố Hà Nội, Việt Nam
86	"TT An toàn an ninh thông tin
Trung tâm An toàn an ninh thông tin, Trường ĐHBK Hà Nội"	Website	3	10	1 SV	Phòng 405, Nhà B1, Đại học Bách khoa Hà Nội
